rank,pais,valor,expectativa_vida,epectativa_estudo,media_estudo,renda_per_capta,diferenca_gni_e_hdi,habitantes,pib
149,Angola,0.532,52.3,42.471,42.555,7,-30,42.391,160.8
150,Swaziland,0.531,49,42.44,42.376,6,-25,42.43,42.377
151,Tanzania (United Republic of),0.521,65,42.409,42.374,2,8,50.8,82.2
152,Nigeria,0.514,52.8,9,42.618,5,-24,178.5,941.5
153,Cameroon,0.512,55.5,42.47,6,3,-1,42.604,61
154,Madagascar,0.51,65.1,42.439,6,1,24,42.544,31.4
155,Zimbabwe,0.509,57.5,42.623,42.436,2,13,42.535,42.394
156,Mauritania,0.506,63.1,42.498,42.585,4,-14,4,42.501
156,Solomon Islands,0.506,67.9,42.409,5,2,16,0.6,42.37
158,Papua New Guinea,0.505,62.6,42.622,4,2,-1,42.497,18
159,Comoros,0.503,63.3,42.501,42.525,1,16,0.8,1
160,Yemen,0.498,63.8,42.409,42.523,4,-17,25,93.5
161,Lesotho,0.497,49.8,42.38,42.618,3,-16,42.371,42.405
162,Togo,0.484,59.7,42.412,42.494,1,17,7,42.409
163,Haiti,0.483,62.8,42.559,42.617,2,4,42.5,17
163,Rwanda,0.483,64.2,42.439,42.554,1,11,42.381,42.598
163,Uganda,0.483,58.5,42.591,42.465,2,6,38.8,51.4
166,Benin,0.48,59.6,42.38,42.432,2,0,42.531,42.63
167,Sudan,0.479,63.5,7,42.372,4,-27,38.8,123.9
168,Djibouti,0.47,62,42.466,42.585,3,-22,0.9,42.492
169,South Sudan,0.467,55.7,42.528,42.465,2,-9,42.562,42.422
170,Senegal,0.466,66.5,42.62,42.492,2,-8,42.504,42.581
171,Afghanistan,0.465,60.4,42.438,42.403,2,-7,42.46,57.6
172,Côte d'Ivoire,0.462,51.5,42.621,42.433,3,-24,42.602,63.1
173,Malawi,0.445,62.8,42.592,42.433,747,13,42.598,42.472
174,Ethiopia,0.442,64.1,42.498,42.462,1,2,96.5,125.7
175,Gambia,0.441,60.2,42.59,42.584,2,-2,42.614,3
176,Congo (Democratic Republic of the),0.433,58.7,42.591,6,680,11,69.4,52.9
177,Liberia,0.43,60.9,42.499,42.373,805,7,42.464,42.524
178,Guinea-Bissau,0.42,55.2,9,42.584,1,-1,42.552,42.431
179,Mali,0.419,58,42.468,2,2,-8,42.597,42.453
180,Mozambique,0.416,55.1,42.438,42.403,1,1,42.516,42.548
181,Sierra Leone,0.413,50.9,42.529,42.372,2,-16,42.406,42.378
182,Guinea,0.411,58.8,42.559,42.462,1,0,12,42.414
183,Burkina Faso,0.402,58.7,42.589,42.461,2,-13,42.477,42.608
184,Burundi,0.4,56.7,42.379,42.553,758,1,42.5,42.528
185,Chad,0.392,51.6,42.467,42.614,2,-22,42.413,42.638
186,Eritrea,0.391,63.7,42.373,42.616,1,-6,42.496,42.436
187,Central African Republic,0.35,50.7,42.407,42.404,581,1,42.555,42.553
188,Niger,0.348,61.4,42.465,42.491,908,-5,42.508,42.597
