valor,rank,idh_mulheres,idh_homens,expectativa_vida_mulheres,expectativa_vida_homens,anos_estudo_mulheres,anos_estudos_homens,per_capta_feminino,per_capta_masculino
0.286,57,0.747,0.745,75.9,66.0,11.3,11.4,"6,518","10,120"
0.413,85,0.637,0.761,77.2,72.5,4.8,7.8,"3,898","22,009"
0.406,82,0.712,0.752,77.2,71.9,8.5,9.6,"8,040","13,977"
0.217,45,0.711,0.750,80.4,75.4,8.9,9.6,"7,217","12,655"
0.318,62,0.734,0.728,78.6,70.9,10.8,10.9,"6,042","10,089"
0.201,41,..,..,79.0,74.0,6.6,8.6,"6,514","12,912"
0.407,83,0.722,0.737,78.7,73.2,7.4,7.6,"8,487","12,723"
..,..,0.725,0.731,77.8,72.4,9.4,9.3,"8,018","11,576"
0.191,40,0.705,0.747,77.3,74.3,6.9,8.2,"10,128","14,795"
0.418,87,0.699,0.743,73.2,67.2,9.8,10.0,"4,274","10,592"
0.325,63,0.737,0.716,73.9,65.3,9.5,9.0,"9,029","12,462"
0.380,76,0.726,0.726,77.9,71.1,7.1,7.5,"11,820","14,888"
..,..,..,..,..,..,..,..,..,..
0.134,27,0.699,0.736,74.6,68.9,7.7,7.0,"7,427","22,392"
0.240,48,0.671,0.751,77.3,72.5,5.9,7.8,"4,748","16,159"
0.429,92,0.719,0.721,77.7,70.5,7.4,7.3,"9,785","14,372"
..,..,..,..,75.1,70.9,..,..,"7,283","12,541"
0.430,93,0.715,0.719,78.1,73.3,10.0,9.4,"5,820","9,059"
0.666,148,0.704,0.727,75.8,69.9,10.7,10.8,"3,796","6,336"
0.426,90,0.696,0.727,72.9,67.4,10.5,10.5,"5,034","10,198"
0.477,104,0.710,0.713,76.7,70.4,7.7,7.2,"8,860","14,903"
0.463,100,0.702,0.720,74.4,68.0,7.3,8.0,"10,241","20,970"
0.243,49,0.678,0.723,77.8,75.8,5.7,6.0,"8,531","16,073"
0.457,97,0.681,0.713,76.8,70.4,10.3,10.3,"3,416","7,124"
,,,,,,,,,
0.480,106,0.691,0.704,66.8,62.1,8.7,9.1,"15,179","18,096"
0.248,50,0.694,0.692,75.7,67.4,11.1,11.3,"4,599","5,915"
0.573,131,0.633,0.729,73.4,69.0,5.4,7.7,"4,928","16,049"
..,..,..,..,69.9,61.5,..,..,"8,725","17,552"
0.514,113,..,..,65.0,63.8,8.9,6.6,"13,527","19,177"
0.494,110,0.655,0.706,71.0,66.9,7.0,8.2,"6,485","13,052"
0.472,101,0.662,0.692,75.1,70.8,7.5,7.9,"5,576","9,678"
..,..,0.607,0.706,74.9,71.0,8.4,9.3,"1,580","7,726"
..,..,0.640,0.678,71.8,65.0,9.5,9.9,"3,811","7,342"
0.420,89,0.649,0.664,71.8,64.9,8.4,7.9,"5,382","10,439"
0.427,91,0.652,0.676,77.4,68.3,6.2,6.9,"5,497","9,406"
0.407,83,0.646,0.681,59.3,55.2,9.7,10.2,"8,713","15,737"
0.308,60,..,..,80.5,71.0,7.0,7.9,"4,624","5,570"
0.444,94,0.637,0.684,70.9,65.9,7.5,8.9,"4,383","7,140"
0.353,67,0.638,0.664,74.6,66.6,10.5,10.6,"2,122","3,992"
0.539,123,0.561,0.712,71.7,67.2,5.1,7.7,"4,279","23,515"
..,..,..,..,75.0,71.4,..,..,"4,098","8,105"
