populacao	renda
0.04788510907	0.0001453533352
0.06744926931	0.001953361272
0.1080550709	0.008305302021
0.2096959223	0.03542682772
0.5071935535	0.1526556992
0.7827374266	0.3490303995
0.9156777413	0.5363894419
0.9725706353	0.6963118701
0.9921433256	0.8034907307
0.9973035828	0.8603055984
1	1.000001407
